phenotype,accuracy,f1_score
(((conv*1)bnorm-)*3)fc*0*64*lr-0.1,0.36444444457689923,0.27782607078552246
(((conv*3)bnorm-pool-dropout)*3)fc*1*64*lr-0.0001,0.8425252437591553,0.8435332775115967
(((conv*3))*2)fc*0*256*lr-0.1,0.09878788143396378,0.0
(((conv*2))*1)fc*0*128*lr-0.0001,0.6567676663398743,0.6532336473464966
(((conv*1)pool-)*1)fc*1*256*lr-0.01,0.44747475783030194,0.4057157337665558
(((conv*1))*1)fc*1*256*lr-0.0001,0.6214141448338827,0.6239802241325378
(((conv*2))*3)fc*0*512*lr-0.1,0.09676767885684967,0.0
(((conv*1)bnorm-pool-dropout)*3)fc*1*512*lr-0.001,0.7888888915379842,0.7852903604507446
(((conv*2)bnorm-pool-dropout)*3)fc*0*512*lr-0.01,0.8493939439455668,0.8698708415031433
(((conv*2))*3)fc*0*64*lr-0.01,0.1018181840578715,0.0
(((conv*3)pool-)*1)fc*0*256*lr-0.1,0.1018181840578715,0.0
(((conv*1)bnorm-pool-)*2)fc*2*128*lr-0.001,0.6677777767181396,0.6829391121864319
(((conv*3))*1)fc*0*512*lr-0.0001,0.6426262458165487,0.6347317099571228
(((conv*3)bnorm-pool-)*1)fc*0*128*lr-0.1,0.28070706377426785,0.4513363838195801
(((conv*2)bnorm-)*2)fc*1*64*lr-0.1,0.09949495146671931,0.0
(((conv*2)bnorm-)*3)fc*2*512*lr-0.0001,0.6467676758766174,0.6592514514923096
(((conv*3)bnorm-pool-)*3)fc*0*128*lr-0.001,0.7943434516588846,0.8037341833114624
(((conv*3)bnorm-pool-dropout)*1)fc*2*512*lr-0.0001,0.7119191884994507,0.7061682939529419
(((conv*2))*2)fc*1*256*lr-0.0001,0.6736363768577576,0.6817365884780884
(((conv*2)pool-)*2)fc*0*512*lr-0.01,0.09858585894107819,0.0
(((conv*1)bnorm-pool-)*2)fc*1*512*lr-0.1,0.10151515404383342,0.0
(((conv*1)bnorm-pool-dropout)*1)fc*0*512*lr-0.0001,0.6626262863477071,0.6479021906852722
(((conv*2)bnorm-)*1)fc*2*256*lr-0.1,0.10545454670985539,0.0017482514958828688
(((conv*3)bnorm-)*3)fc*2*512*lr-0.01,0.09727272888024648,0.0
(((conv*1)bnorm-)*2)fc*2*128*lr-0.1,0.09595959633588791,0.0
(((conv*1)bnorm-pool-)*3)fc*1*64*lr-0.1,0.0982828289270401,0.0
(((conv*2)bnorm-pool-dropout)*1)fc*0*256*lr-0.01,0.6484848459561666,0.6201809644699097
(((conv*1)bnorm-pool-)*1)fc*2*256*lr-0.0001,0.6562626361846924,0.660818338394165
(((conv*3)bnorm-pool-dropout)*1)fc*2*128*lr-0.01,0.21737373868624368,0.03416353091597557
(((conv*2)bnorm-pool-)*3)fc*1*512*lr-0.001,0.8066666722297668,0.8178179264068604
